ID,Name,Description,Open Timings,Location,Category,Rating,Review Count
106,Huron Natural Area,Huron Natural Area is home to more than 250 acres of protected forest and wetland with more than 7km of trails to explore. It is one of the Kitchener’s largest natural spaces.,,Kitchener,Nature and Wildlife Areas,4.5,96
107,Chutes Provincial Park,"Chutes Provincial Park offers a quiet campground along the Aux Sables River, providing a peaceful retreat. Explore a scenic six-kilometer hiking trail with stunning views of waterfalls and a river gorge. Conveniently located just one kilometer from the Trans-Canada Highway, it serves as the sole provincial park between Sudbury and Sault Ste Marie. The park is in close proximity to the town of Massey, offering amenities, a cultural museum, and a public library. Additionally, Chutes Provincial Park is situated near various hiking trails, fishing spots, and opportunities for canoeing and kayaking. With its strategic location, it serves as an excellent base for exploring Manitoulin Island and the North Channel of Lake Huron.",,Massey,Nature and Wildlife Areas,4.5,113
108,Georgian Bay Islands National Park of Canada,"Georgian Bay Islands National Park is part of the Georgia Bay which is a body of water located to the northeast of the main body of Lake Huron. The national park sits in the southeastern part of the bay.  The park covers an area of 5.2 square miles (13.5 sq km).

Whereas Lake Huron is a shared body of water between Michigan and Ontario, the Georgian Bay is entirely within the borders of Ontario. The bay extends 120 miles (190 km) long and reaches a width of 50 miles (80 km). The surface area covers 5,800 square miles (15,000 sq km) with an average depth of 150 feet (46 m).

The national park covers 63 islands that are scattered across the southeastern part of the bay along the shoreline of the bay. The largest of the islands is Beausoleil Island.

The 63 islands that comprise the national park area are part of a larger collection of about 30,000 islands scattered across the bay.  The national park and larger collection of islands are all part of the UNESCO biosphere reserved known as Georgian Bay Littoral.

The national park and surrounding ecosystem sustain a number of wildlife species where sightings add to any adventure.  Most people are interested in the mammal species and some of the more popular include beaver, black bear, bobcat, coyote, fox, lynx, moose, porcupine, raccoon, timber wolf, and white-tailed deer.

The national park is only accessible by boat and the majority of activities are related to the water and navigating around and throughout the 63 islands of the national park.",,Honey Harbour,National Parks,4,186
109,Mount Carmel Spiritual Centre,"The Carmelite Gift Shop is located within the Carmelite Monastery in Niagara Falls Ontario, Canada. We are one of the largest religious gift shops in southern Ontario. ​ Onsite vineyard, winery and tasting boutique 7 days/ week 10am-5pm weekday mass in the historic Chapel at 11:15am. All are welcome to visit and enjoy the property.",9:00 AM - 5:00 PM,Niagara Falls,Churches and Cathedrals,4.5,69
110,Tommy Thompson Park,"A unique place near downtown Toronto to experience nature, and one of the best places for bird-watching in the city, with more than 300 recorded species. Use the menu below to find details on visiting the park, trails, events, festival, programs, restoration, and research.",4:00 PM - 9:00 PM,Toronto,Nature and Wildlife Areas,4.5,134
111,Devil's Punchbowl Conservation Area,"The Devil’s Punchbowl is one of the Niagara Escarpment’s most amazing sights, created at the end of the last ice age by huge melt-water rivers that plunged over the Stoney Creek Escarpment, thus carving the Punchbowl and gorge. From the bottom of the falls, one can see the many different coloured rock layers of the Escarpment. The Punchbowl is the only area where one can view such a large vertical display of Ordovician and Silurian stratified rock. Some of the layers include Queenston Formation red shale, Cabot Head grey shale, limestone and shale dolomite. There is a spectacular view of Stoney Creek and Hamilton Harbour from the lookout, not to mention the view down into the seemingly bottomless gorge.",,Hamilton,Waterfalls,4,268
112,Escape From The 6,"We are an escape room facility bordering Oakville/Mississauga. Real life room escape games are where you and your group are immersed in a real life interactive game world. You must work together to solve puzzles, discover clues, and overcome challenges to escape. Whether you are looking for a fun night out with your friends or family, or organizing a private event like a birthday, It's always fun!",3:00 PM - 11:00 PM,Mississauga,Escape Games,5,897
113,Lion's Valley Park,"Lions Valley Park, located in Oakville, Ontario, offers trail-goers a unique blend of natural and man-made wonders to behold as they stroll along the Sixteen Mile Creek trail system. While the main parking area is located underneath the Dundas Street Bridge, there are several other locations where you could access Lions Valley trails

Free to access, Lions Valley Park is a particular favorite of families. Park amenities include a playground, stroller-friendly walking trails that wind alongside and over Sixteen Mile Creek, as well as lots of interesting plants and critters to spot. The mature forest canopy provides much-needed shade and delights Fall hikers with a beautiful array of reds, oranges, and yellows. ",,Oakville,Parks,4.5,127
114,BATL Axe Throwing,"At BATL Axe Throwing, we believe that sport should be inclusive, fun for everyone in the family, and above all, be a safe entertainment bullseye. With safety and teaching being the highest priority at BATL, our coaches help everyone over twelve years old remember the feeling of their first bullseye. Whether you're bringing your young family out for some in-town entertainment or putting on a stag, bachelorette, birthday, team-building, or fundraising event, we'll make sure it's memorable and safe. No matter what BATL location you visit across North America, you can expect delicious food and drinks, axe throwing lanes, expert coaching, and a fun tournament. Easy online booking in less than 3 minutes and group discounts are always available on our website.",11:00 AM - 11:00 PM,Ottawa,Game and Entertainment Centres,5,599
115,Mackenzie Printery & Newspaper Museum,"Discover 500 years of printing technology inside the restored home of publisher, rebellion leader, and Toronto’s first mayor, William Lyon Mackenzie.

Located in the quaint village of Queenston, the Mackenzie Printery offers visitors a hands-on experience with a working linotype and eight operating heritage presses. Don’t miss the rare Louis Roy Press, the oldest printing press in Canada and one of the few original wooden presses remaining in the world.",,Niagara-on-the-lake,Speciality Museums,4.5,160
116,Mount Nemo Conservation Area,"Mount Nemo tends to be a favourite park for nature-enthusiasts, thanks to the unique escarpment-edge ecosystem and the incredible biodiversity that thrives at the park. Bring your magnifying glass, binoculars, and camera, and take any of the trails at Mount Nemo for incredible views, turkey vultures flying overhead and more rare species of plants, animals and insects than you can count. If you’re vertically-inclined, you can get face-to-face with the escarpment on one of the many climbing routes. And if you prefer to keep your feet on the ground, there are still an abundance of cliffs, crags and caves waiting to be explored.",8:30 AM - 9:00 PM,Burlington,"Nature and Wildlife Areas, Hiking Trails",4.5,121
117,Riverdale Farm,"Toronto's Riverdale Farm covers 7.5 scenic acres and is a hot spot for families. Along with the wooded areas, ponds and gardens, there are plenty of farm animals to visit. All this and more in the heart of downtown Toronto.",,Toronto,Farms,4.5,164
118,Coffin Ridge Boutique Winery,"Start your day at Coffin Ridge with a wine tasting led by our knowledgeable staff. From there you can retreat to the deck for a glass of wine and our vintner's plate made up of local artisanal breads and cheeses which have been specifically paired with the glass of wine you are drinking. Relax, listen to music and enjoy the Coffin Ridge experience.",,Meaford,Wineries and Vineyards,4.5,138
119,Morningstar Mill,Morning Star Mill and Decew Falls are closed temporarily during the COVID-19 pandemic. The City of St. Catharines will update this listing when it is open again.,,St. Catherines,Speciality Museums,4.5,151
120,BATL Axe Throwing,"At BATL Axe Throwing, we believe that sport should be inclusive, fun for everyone in the family, and above all, be a safe entertainment bullseye. With safety and teaching being the highest priority at BATL, our coaches help everyone over twelve years old remember the feeling of their first bullseye. Whether you're bringing your young family out for some in-town entertainment or putting on a stag, bachelorette, birthday, team-building, or fundraising event, we'll make sure it's memorable and safe. No matter what BATL location you visit across North America, you can expect delicious food and drinks, axe throwing lanes, expert coaching, and a fun tournament. Easy online booking in less than 3 minutes and group discounts are always available on our website.",11:00 AM - 11:00 PM,Toronto,Game and Entertainment Centres,5,387
121,Northern Ontario Railroad Museum & Heritage Centre,"Located in the railway town of Capreol, the museum is a must see destination for any history buff. Home to a unique collection of rail history, the collection is highlighted by retired CN steam locomotive #6077. The museum house, a former home belonging to the local railway superintendent, boasts an impressive collection of artifacts related to the lumber and mining industries. The museum's Heritage Centre, located in the town's former Fire Hall and Police Station sheds light on the regions social history.",10:00 AM - 4:00 PM,Sudbury,History Museums,4.5,73
122,The Museum of Naval History,"The Museum is currently open 11 am to 4 pm Thursday to Sundays. Contact the museum if you require more information. HMCS Ojibwa is the largest artifact of the Museum of Naval History in Port Burwell, Ontario. Ojibwa served from 1965 to 1998 through the dangers and challenges of the Cold War. Visitors can choose from a number of different tours ranging from the hour-long Submariner's Tour of the inside of the boat; The Fish Eye View Tour of the outside; the combo tour including both the inside and the outside; and our most intensive tour - the 3-hour Greater Depths Tour. All our tours are led by highly trained guides. If you are lucky, or sign up for the Greater Depths Tour, your guide will be a qualified submariner, ready to explain everything and tell takes of the Cold War. These award-winning tours are unique and well worth the visit.",11:00 AM - 4:00 PM,Bayham,"Military Museums, Speciality Museums",4.5,145
123,Limberlost Forest & Wildlife Reserve,"The Limberlost Forest and Wildlife Reserve is a publicly accessible private year-round wilderness haven with twenty private lakes and more than 10,000 unspoiled acres of mixed forest near Huntsville, Ontario, Canada. The private forest reserve contains more than 70 km of hiking, biking, skiing and snowshoeing trails made available to the public at no charge. Limberlost practices a form of land management referred to as Conscientious Forest Management which focuses on ensuring the sustainability of their management objectives and actions for generations to come. We encourage the use of the forest visitors and eco-tourists at no charge; support environmental research programs and institutes; and offer both modern and traditional forest land use options to the local community. Limberlost’s primary objective is to offer continued free access to the 10,000 acre Muskoka property for the purpose of encouraging safe wilderness experiences. Free use of the property is made possible by the ren",9:00 AM - 5:00 PM,Huntsville,Hiking Trails,4.5,61
124,Tyendinaga Cavern and Caves,Ontario's oldest natural cavern. Offering guided tours and knowledgeable staff. Open from Victoria Day until Labour Day. Beautiful setting on 60 acres with nature trails and open fields.,,Belleville,"
Caverns and Caves",4.5,131
125,Warsaw Caves,"Warsaw Caves Conservation Area and Campground has over 13 km of hiking trails, a sandy beach, camping, canoeing, and natural features, including caves and kettles, carved from river water that used to cover the area.",,Warsaw,"Nature and Wildlife Areas, Hiking Trails",4.5,136
126,Big Chute Marine Railway,"The Big Chute Marine Railway is the only one of its kind in North America. This engineered marvel physically lifts the boats out of the water and over a hill on a track system, before launching them back into the water where they can continue their journey.

If you have never witnessed this phenomenon, it is highly recommended that you make the trip at least once. Give the Big Chute a try if you have your own personal boat or are renting one for the weekend.",,Big Chute,"Points of Interest, Landmarks",4.5,127
127,The Ranch,"Since 1980, The Ranch has offered western riding at its best. From our trail rides to our lesson program, from our pony club to our pony parties and from our summer camps to twilight ride summer campfires... we offer safe and stalwart horses, friendly and educated staff, and a beautiful and relaxed environment on our farm in Oakville. Join us year round as we guide beginner and expert riders alike through miles of scenic trails in the pristine heart of escarpment country! Whatever your skill level, just bring your love of equis and the outdoors, and our qualified and friendly staff will ensure that you are safely equipped to thoroughly enjoy your ride!",9:00 AM - 7:00 PM,Oakville,Horseback Riding Tours,4.5,500
128,Rainbow Falls Provincial Park,"Hiking, camping, fishing and boating are just a few of the outdoor activities available at this scenic park.",,Rossport,"National Parks, Waterfalls",4.5,50
129,Albion Falls,"Albion Falls is one of the most picturesque waterfalls in the region and one of the city’s most popular. The Red Hill Creek in the east end’s King’s Forest tumbles over rock that’s been formed over time into steps and shelves, fanning outwards into a beautiful cascade of rushing water.",,Hamilton,Waterfalls,4,252
130,Point Petre Wildlife Conservation Area,"While a simple beach on Lake Ontario, it is right next to CFB Picton Training area where in the 1950's, models of the Avro Arrow were launched to test wing shapes.",,Picton,Nature and Wildlife Areas,4.5,49
131,Burning Kiln Winery,"Rooted in the agricultural significance of tobacco and Norfolk County, Burning Kiln offers a vision of this VQA region’s bright future. The picturesque winery is a repurposed tobacco pack barn overlooking Long Point’s UNESCO World Biosphere Reserve. Enjoy award-winning wines paired with outstanding local fare by Canned Heat’s patio restaurant. Known for hosting a variety of events, visitors can often enjoy live music, concerts, local makers, and other special events, and is also available for private functions such as weddings and celebrations. Burning Kiln offers a wide range of tasting and tour experiences, as well as accommodations through their recently restored historical farmhouse.",11:00 AM - 9:00 PM,Saint Williams,"
Wineries and Vineyards",4,235
132,St. Jacobs & Aberfoyle Model Railway,"St. Jacobs & Aberfoyle Model Railway is North Americas finest ""O"" Scale Layout. Over 3000square feet showcasing Southern Ontario during the 1950's. Come see our huge world renowned display accurately portrayed to every last detail.",,St. Jacobs,Speciality Museums,4.5,74
133,BATL Axe Throwing,"At BATL Axe Throwing, we believe that sport should be inclusive, fun for everyone in the family, and above all, be a safe entertainment bullseye. With safety and teaching being the highest priority at BATL, our coaches help everyone over twelve years old remember the feeling of their first bullseye. Whether you're bringing your young family out for some in-town entertainment or putting on a stag, bachelorette, birthday, team-building, or fundraising event, we'll make sure it's memorable and safe. No matter what BATL location you visit across North America, you can expect delicious food and drinks, axe throwing lanes, expert coaching, and a fun tournament. Easy online booking in less than 3 minutes and group discounts are always available on our website.",11:00 AM - 11:00 PM,London,Game and Entertainment Centres,5,504
134,Bad Axe Throwing Mississauga,"The biggest in the greater Toronto area, Bad Axe Throwing in Mississauga (at 4880 Tomken Rd) can hold over 100 people! It's also the only location where there's dedicated Walk in hours Friday and Saturday nights from 6 to 11pm every week. Just walk on in, no booking required! We're THE destination for birthday parties, corporate events, bachelor & bachelorette parties, any special occasions, or people looking for a fun outing with friends. You don’t have to be built like Rambo to toss an axe. Your group will be instructed on the proper technique for axe throwing by an on-site coach who will make sure you know what you’re doing before you throw. After we teach you how to be a axe hurling master, we'll play some awesome games and wrap things up with a tournament that determines an ultimate Axe Throwing Champ! Players of all ages are welcome, although anyone under 18 must be accompanied by an adult. So explore your inner Viking and get throwing.",8:30 AM - 11:00 PM,Mississauga,Game and Entertainment Centres,5,354
135,Heart Lake Conservation Park,"Enjoy outdoor fun with the beauty of nature as your backdrop at Heart Lake Conservation Area. From fishing in the lake or frolicking at our new pool and splash pad, to speeding above the water on one of our twin zip lines, Heart Lake offers all the best in outdoor entertainment.",Closed until further notice,Brampton,Nature and Wildlife Areas,4,169
136,Banting House National Historic Site,"Banting House is a two-and-a-half-storey, yellow-brick house associated with Dr. Frederick Banting. Originally constructed in 1900, a modern wing was added to the rear of the house in the late 20th century. Banting House is located on a major downtown street in the city of London. It is now operated as a museum presenting Banting's life and achievements. The formal recognition is confined to the building itself.",12:00 PM - 4:00 PM,London,"Speciality Museums, History Museums",4.5,68
137,University of Guelph Arboretum,"The University of Guelph Arboretum is an arboretum organized by the University of Guelph in Guelph, Ontario. It was formally established in 1970 by the university and aims to conserve biodiversity and connect people with nature through teaching, research, and community outreach. The space is 165 hectares and is open throughout the year.",,Guelph,"Points of Interest, Landmarks",4.5,176
138,Pebble Beach,Pebble Beach is located in Marathon in Ontario’s Superior Country. This is a 1.2 mile (2kms) long pebbly/cobblestone beach on the shore of Lake Superior. This is a unique beach due to the colorful rounded stones that have been polished by the pounding waves of the lake. There is a parking area that offers incredible views above the beach and a steep path to the left that leads down to it. Sturdy shoes are recommended to navigate around the cobblestone beach. There is a playground and picnic tables by the parking area to enjoy.,,Marathon,Beaches,4.5,69
139,Looking Glass Adventures,"Have an adventure you won't forget! We host a variety of escape room adventures which will suit any age and any level of experience. Our games work for as few as 2 players for for up to 10. Choose which adventure you'd like to play and book in advance to play with your own private group. We book parties, family gatherings, community or church groups, camps and schools as well as corporate team building. We have a meeting and party room to help plan a full day with us!",10:00 AM - 11:00 PM,Toronto,Escape Games,5,565
140,French River Provincial Park,"The French River, a waterway of national historic significance, holds the distinction of being the first designated Canadian Heritage River. Spanning 105 kilometers, this canoe route navigates through interconnected lakes, gorges, and rapids, retracing the paths of Indigenous people, French explorers, fur traders, and Voyageurs from Lake Nipissing to Georgian Bay. The journey offers diverse experiences, from wilderness paddling to motorboating, fishing, and the option of staying at private lodges. For those seeking coastal kayaking adventures, the French River Delta provides access to the scenic waters of Georgian Bay. To delve deeper into the history and significance of the river, visitors can explore the award-winning French River Visitor Centre on Settlers Road, featuring the captivating ""Voices of the River"" exhibit.",,Alban,Parks,4.5,55
141,Aguasabon Falls & Gorge,"The Aguasabon Falls & Gorge is a stunning, must-see attraction in Terrace Bay and along Lake Superior. With a beautiful ferocity in the spring and a serene grace in the summer and fall, this spectacular 100 ft. waterfall cascades into the Aguasabon Gorge—flowing along a 2.6 billion year old rock face.
Come visit the Aguasabon Falls and experience the northern beauty of the Canadian wilderness at its finest!",12:00 AM - 11:59 PM,Terrace Bay,"Geologic Formations, Waterfalls",4.5,83
142,Levelup Reality,"Levelup Reality is Toronto’s virtual reality (VR) arcade and events venue, and we take you beyond the limits of reality into a rich immersive experience, where you can connect with others while engaging all of your senses. We have been ranked as one of the coolest indoor activities in Toronto while being one of the most fun and adventurous things to do in Downtown Toronto GTA. We also host the best corporate events, business team building games, and large group game parties for companies and offices in Toronto. Enjoy single and multiplayer adventure, shooters, action, horror, escape room, and short films experiences! We have one of the largest libraries of games!",2:15 PM - 12:00 AM,Toronto,Game and Entertainment Centres,5,276
143,Restoule Provincial Park,"Restoule Provincial Park offers a diverse and thrilling outdoor experience for nature enthusiasts. Whether paddling alongside ancient cedars at the base of the impressive 100-meter-high Stormy Lake Bluff, hiking the Fire Tower Trail for a breathtaking view of Stormy Lake, or tackling over 8 kilometers of double and single track mountain biking trails with varying difficulty levels, there's something for everyone. The park also provides a serene camping experience, allowing visitors to enjoy the beauty of a maple forest while car and RV camping. For those seeking a more intimate connection with nature, waterfront camping is available at walk-in campsites on Restoule Lake, and backcountry camping opportunities await at easily accessible sites on Stormy Lake and the Restoule River. Moreover, the park showcases spectacular views, particularly during the fall season, offering a visual feast of Ontario's vibrant autumn colors.",,Restoule,National Parks,4,106
144,Maja's Garden Bistro,Maja's Garden Bistro lunches are made fresh from our garden to your plate. We offer delicious vegetarian and vegan lunch options. Wednesday and Saturday evenings we offer a dinner concert series event. 6-9pm by reservation. Our workshop and fees can be found on our website.,,Mindemoya,Gardens,4.5,68
145,Small Talk Vineyards,"Welcome, come on in to Small Talk, where the distance between what you think and what you say is celebrated. Located on a quiet country road, away from the hustle and bustle of city living, we offer genuine hospitality, like good neighbours do. If you ask, you can borrow a cup of sugar, no problem. Ours is a fun winery, no pretenses allowed (well, if you insist, but not from our end). Look for the coloured barrels located around the property.",10:00 AM - 9:00 PM,Niagara-on-the-lake,Wineries and Vineyards,4.5,201
146,Upper Canada Playhouse,"Upper Canada Playhouse was established in 1983 as a non-profit charitable organization. Its first performances were held in a giant tent on the forested borders of the town before it moved to its current building: the former Toothbrush and Argyle Sock Factory! The factory was transformed into a fully equipped and intimate 275 seat theatre, where every seat has a good view. Visitors will appreciate the roomy parking lot and the licensed canteen on site. ",10:00 AM - 7:00 PM,Morrisburg,Theatres,4.5,57
147,White Meadows Farms,"Our Maple Sweet Shop is open all year long, to serve you with the best quality maple products possible. We hand make many maple products right on the farm; from the sweet to the savory we have something to please every taste bud. Free Tastings of our 4 grades of maple syrup, along with our other products made with pure maple syrup. TOURS -- The Sugar Bush Trek (March-April), Discover Maple (May-October) Relive the legend of Maple Syrup’s discovery. Hop on our Sugar Shuttle tractor-pulled wagon and let our family take your family into the heart of our working sugarbush. In the forest, follow in our sugar-maker’s footsteps as your guide leads you through the reimagined Native and Pioneer Camps of Maple Syrup’s rich history, solves your maple mysteries, and sets you on your own exploration -- Taffy in hand -- to experience the best adventures of the sugar bush. For all the details and to purchase tour tickets please visit our website.",10:00 AM - 5:00 PM,Pelham,"Speciality and Gift Shops, Farms",4.5,143
148,Paletta Lakefront Park and Mansion,"Take a step back in time to experience the majesty of this estate and mansion, circa 1930. The park is divided into two very distinct areas: the estate lands, which are formal and landscaped, and the valley walls and flood plain of Shore Acres Creek, which are in a natural state. The park features two suspended iron bridges, floral gardens, nature trails and the waterfront. This 14-acre heritage park is a unique blend of open spaces, wetlands, waterfront nature trails and pathways, which provide access to the lakeshore and panoramic views of Lake Ontario. The 10-acre Discovery Trail features a flood plain that is one of the only natural areas of its kind remaining along the Halton shoreline of Lake Ontario. The wildlife existence within this park is significant, emphasizing the continued commitment to preserve the natural habitat and landscape of this park site.",,Burlington,Parks,4.5,91
149,One of a Kind Antique Mall,"Visit Canada's largest antiques & collectibles store with over 500+ vendors 80,000 square feet of shopping.  Treasure hunt through three floors of antiques and nostalgia located in a historic textile factory.  ",10:00 AM - 5:00 PM,Woodstock,"Antique Shops, Shopping Malls",4,120
150,Whistling Gardens,"Seasonal Garden Centre & Botanical Gardens. Open May thru October. Explore 20 acres of colour, unique design and countless rare plants at our National Award winning botanical gardens. Streams, ponds, cascades, as well as cottage garden strolls, magnificent formal gardens and European influenced architecture all await you. The Conifer collection features 2,000 different specimens and is the largest public collection in the world. Our peony collection features some 1,300+ different varieties and is considered to be the largest public collection in North America! Wheelchair accessible, walking paths, shop for rare and unusual plants or participate in our group garden tours, horticulture or creative workshops. Cameras, and picnic lunch’s welcome! Visit our website for seasonal hours and admission rates.",,Wilsonville,Gardens,4.5,53
151,The OPP Museum,"The OPP Museum is accountable for its collections to pass them on to future generations. It advances knowledge by making the collections and information about them accessible to its members, and the general public.

The museum's basic responsibilities of stewardship and public service are expressed by preserving, documenting and interpreting artifacts and archival materials that help to build an understanding of the history of policing in Ontario since the formation of Upper Canada in 1791, specializing in the material culture of the Ontario Provincial Police from 1909.",8:30 AM - 4:30 PM,Orillia,Speciality Museums,4.5,82
152,Andrew Csafordi Studio Gallery,"A graduate of the Ontario College of Art, Andrew paints exclusively with molten “encaustic” beeswax, incorporating other mediums. Luminous textures bring the viewer into an organic landscape unlike any other. His masterful paintings move naturally from two dimensions to three, from reality to colourful imagination, often echoing the fluidity of landscapes in The County. His works create a focal point and spark great conversation in one’s home or office. An exciting renaissance of this ancient “encaustic beeswax technique” has been growing with excitement. His sculptural paintings can be seen in his magnificent century-old BARN Gallery and new ANDARA Gallery also located onsite in the heart of Prince Edward County. Encaustic Painting workshops and gift certificates available. The Studio and Galleries are located minutes NW of the village of Bloomfield; first road north of Huff Estates Inn & Winery in the heart of Prince Edward County wine country.",11:00 AM - 5:00 PM,Bloomfield,Art Galleries,5,60
153,Cascades Conservation Area,"Cascades Conservation Area is a great choice for a quiet hike in the beautiful poplar and birch forest. The highlight for many people is the spectacular rapids along the Current River.

Visitors have a choice of several walking trails, each offering a different experience. A 775 metre trail loop (Forest Trail) was paved in 2002 and allows people with accessibility concerns to discover Cascades' beautiful forest.

You may also wish to enjoy a barbecue or picnic near the pavilion. The pavilion features interpretive displays highlighting the geological, hydrological and botanical features of the area. While enjoying the Cascades, take the opportunity to view the wide variety of geological formations on the Current River.",,Thunder Bay,"Nature and Wildlife Areas, Hiking Trails, Waterfalls",4.5,62
154,Oeno Gallery,"Located in beautiful Prince Edward County adjacent Huff Estates Winery, Oeno Gallery is a recognized source for exceptional contemporary & historic fine art. The gallery is a light-filled space that walks out to a 3-acre Sculpture Garden with large-scale artwork that has been acquired for private and corporate properties. On three acres of winding paths, sculptures by Canadian and American artists are framed by wild grasses and garden beds brimming with sage and lavender. Oeno Gallery is a destination for collectors, art consultants, designers and tourists! Oeno Gallery has built relationships with art buyers around the world and offers international shipping.",11:00 AM - 6:00 PM,Bloomfield,"Art Galleries, Gardens",4.5,114
155,Niagara-On-The-Lake Museum,"The Niagara Historical Society was established in 1895 to foster an appreciation of Niagara-on-the-Lake’s rich heritage. Within a year, the Society had a significant collection of artefacts and opened a museum in the local Courthouse. In 1907, they opened Memorial Hall, Ontario’s first purpose-built Museum. Today, the Niagara Historical Society continues to own and operate the Niagara-on-the-Lake Museum, a site consisting of three merged buildings: The High School building (1875), Memorial Hall (1907) and the Link Building (1971). The Niagara-on-the-Lake Museum owns one of Ontario’s most important local history collections, with artefacts from Indigenous settlement to the present day. The Museum is home to over 8,500 artefacts, 41,000 documents, 4,000 photographs and 900 books. The galleries host a permanent exhibition, Our Story, chronicling the history of our community. Two temporary exhibitions are mounted each year and over 80 engaging programs are enjoyed by all ages.",,Niagara-on-the-lake,Speciality Museums,4.5,122
156,Confundrum Escape Rooms,"At Confundrum, our commitment is unwavering, ensuring an unparalleled escape room adventure from start to finish. We promise great fun – it's not just an activity, it's in our name and at the heart of everything we do. Our diverse range of rooms guarantees a unique and thrilling experience, whether you crave spine-chilling horror or family-friendly fun. Above all, we take pride in delivering a tremendous overall experience, cherishing each customer who walks through our doors. Your enjoyment is our success, making every moment at Confundrum truly unforgettable.",,Burlington,Escape Games,5,738
157,Jet Aircraft Museum,"A small museum with a collection of military training jets undergoing restoration to flying status. ""Thrill of a Lifetime"" jet rides available by appointment. Flight Simulator Room for ""Children of ages 10 and up"". Admission is by donation. Donations are gratefully received to help us ""Keep Them Flying"". Gift Shop purchases also assist us in our mission. Venue available for receptions, birthday parties, etc.",10:00 AM - 4:00 PM,London,"Military Museums, Speciality Museums",4.5,37
158,Hinterbrook Winery,"NOMAD at Hinterbrook Winery is a resting place for all travelers. It’s a place for you to come and share your stories with fellow nomads.

Sitting under an old majestic elm tree in our tasting garden you will be fully surrounded by our vineyards. You will not only experience the wines, but also the grapevines that created them. It’s a magical place where the gentle babbling of our serenity pond and the excited fluttering of the birds will enhance your taste buds. It’s a wonderful oasis where the cool lake breeze and the warm sun rays bring out everything that is unique about our wines. Let your senses guide you as we share our story, and you share yours, creating a tapestry of storytelling in the natural world.",11:00 AM - 5:00 PM,Niagara-on-the-lake,Wineries and Vineyards,4.5,121
159,Fashion History Museum,"Like food and shelter, clothing is a necessity as well as a cultural expression. The fashion industry employs millions of people around the world and is a driving force behind the global economy. But fashion is also ephemeral, whimsically responding to changes in technology, taste, the economy, and social mores. The journey fashion takes from inception to production and from popularity to outdated is a fascinating story worthy of being told. The Fashion History Museum is a charitable not-for profit organization, founded in 2004, that captures the story of fashion through exhibitions using its collection of over 10,000 garments and accessories dating from the 1660s to the present. Alongside historical dress, the museum is building a contemporary Canadian designer collection as well as a comprehensive library and archives of fashion related publications and documents. Since 2004 we have been creating exhibitions that have travelled throughout Canada and as far afield as Hong Kong and Bahrain. In June 2015 we opened galleries in the old post office in the former town of Hespeler Ontario, now northern Cambridge. Three galleries in the museum are each changed once or twice a year to feature different topics and eras of fashion history.",12:00 PM - 5:00 PM,Cambridge,Speciality Museums,4.5,59
160,Bruce's Caves Conservation Area,"Bruce’s Caves Conservation Area derives its greatest significance from the unique cave formations found along the escarpment face. These caves were formed by the wave action of post-glacial Lake Algonquin, 7,000 to 8,000 years ago. The significance of the cave formations lies in their dramatic illustration of past weathering processes and impresses upon us the magnitude of the post-glacial lake levels. The caves also illustrate the different physical and chemical weathering rates of various sections of the escarpment (soluble limestone and Amabel dolomite).",,Wiarton,Nature and Wildlife Areas,4,148
161,The Royal Canadian Regiment Museum,"The Royal Canadian Regiment Museum tells the story of the first infantry regiment established in Canada within the permanent force. The regimental history can be traced back to the War of 1812 and it overlaps with some of the most significant episodes of post-confederation Canadian history.

The RCR Museum is committed not only to providing a home for the regimental collection, but also to foster a deeper understanding of the Regimental experience, within the broader context of military and Canadian history, among other veterans, communities in the London area and all Canadians.",10:00 AM - 4:00 PM,London,Military Museums,4.5,76
162,Whitehern Historic House and Garden,"This elegant museum in the heart of downtown is widely considered one of the most historically intact homes in Canada.

Built in 1848, this National Historic Site is well worth exploring, showcasing three generations of ideas and possessions of Georgian, Victorian and Edwardian influences.

Enjoy a guided tour of the home with a costumed interpreter to learn about several generations of the fascinating McQuesten family, whose many contributions to the city include the construction of the Rock Garden at Royal Botanical Gardens and the Queen Elizabeth Highway (QEW).",12:00 PM - 4:00 PM,Hamilton,Historic Sites,4.5,59
163,Thornbury Village Cider & Brewery,"The Thornbury Cider and Brew House offers tasting flights of our popular Thornbury Cider, Thornbury Beer or wines from our parent company, Colio Estate Wines. Painstakingly crafted in small batch lots and made from locally sourced apples, our Thornbury Premium Craft Cider is the best-selling brand in Ontario! Our Cider taps feature our Premium Craft Cider as well as our Cranberry, Blueberry-Elderflower and Blood Orange Apple Ciders. The beer taps feature our Dam Dark Lager, Ladder Run Amber Lager, Pickup 26 Pilsner and Thornbury Light Lager. New Cider and Beer innovations are released regularly throughout the year, so there is always something interesting and fresh to try! We also offer a non-alcoholic sparkling grape juice for non-drinkers and children. Our Experience Room features colourful murals of the cider and beer-making processes and is available to rent for groups, meetings and parties. Our large deck is open year round. Come by and check us out!",12:00 PM - 7:00 PM,Thornbury,Breweries,4,105
